TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9,0.634858,0.66163,0.61921,0.620862,0.625976,0.641337,0.666126,0.672918,0.65491,0.686437
2.9002,0.634284,0.661825,0.618198,0.619476,0.625562,0.640194,0.666607,0.672437,0.654392,0.686201
2.9004,0.633439,0.661574,0.617412,0.617541,0.625022,0.63955,0.667158,0.673171,0.653714,0.686275
2.9006,0.632862,0.661076,0.617201,0.616308,0.624894,0.639095,0.667937,0.674271,0.653383,0.686174
2.9008,0.632388,0.660822,0.61741,0.616562,0.624946,0.639124,0.668342,0.674974,0.653768,0.685762
2.901,0.632504,0.660932,0.617574,0.61773,0.624749,0.639556,0.669217,0.675411,0.654317,0.684958
2.9012,0.633283,0.661392,0.617312,0.618483,0.624063,0.639873,0.670995,0.675406,0.654796,0.683719
2.9014,0.63427,0.661922,0.616634,0.618194,0.623162,0.639882,0.672958,0.675596,0.654277,0.682653
2.9016,0.634738,0.662345,0.615836,0.616987,0.622186,0.639837,0.673839,0.676949,0.652934,0.682351
2.9018,0.634395,0.662261,0.615292,0.615892,0.621434,0.639958,0.673821,0.678758,0.651754,0.68279
2.902,0.633589,0.662,0.615223,0.615156,0.62108,0.640282,0.673224,0.679829,0.651395,0.683446
2.9022,0.632939,0.661867,0.615731,0.615095,0.621134,0.640791,0.673659,0.680488,0.652187,0.683547
2.9024,0.633046,0.662003,0.616495,0.615569,0.621077,0.641505,0.675578,0.681097,0.653305,0.682876
2.9026,0.633961,0.662416,0.616851,0.616131,0.621045,0.642367,0.677856,0.680804,0.653854,0.681449
2.9028,0.635046,0.6628,0.616467,0.61623,0.621688,0.643094,0.679656,0.680171,0.65298,0.680616
2.903,0.635508,0.663286,0.61576,0.615528,0.62212,0.643592,0.681069,0.680513,0.650943,0.681204
2.9032,0.635255,0.663444,0.615148,0.614354,0.621912,0.644336,0.682543,0.681931,0.648885,0.682725
2.9034,0.635258,0.663134,0.615175,0.613299,0.621519,0.645302,0.684371,0.683543,0.6479,0.683872
2.9036,0.635644,0.662894,0.615663,0.612674,0.621148,0.646067,0.686403,0.684626,0.648118,0.683599
2.9038,0.636325,0.663388,0.616101,0.612561,0.620801,0.646371,0.687795,0.684762,0.648999,0.682325
2.904,0.636951,0.664146,0.616185,0.61318,0.620611,0.646297,0.687871,0.684815,0.649551,0.681267
2.9042,0.637372,0.664896,0.616059,0.614305,0.620581,0.646131,0.687448,0.685215,0.649135,0.680965
2.9044,0.637089,0.665862,0.615944,0.615374,0.620548,0.646331,0.687897,0.686544,0.64809,0.681874
2.9046,0.637019,0.666944,0.615986,0.616069,0.620441,0.647213,0.688132,0.688502,0.647223,0.683326
2.9048,0.637279,0.6673,0.61633,0.61612,0.620305,0.648562,0.687571,0.689778,0.647133,0.684101
2.905,0.638214,0.667179,0.61685,0.615778,0.620129,0.649813,0.686157,0.689845,0.648048,0.683961
2.9052,0.639251,0.667116,0.617261,0.615582,0.620211,0.650569,0.686365,0.68898,0.650137,0.682861
2.9054,0.63948,0.66712,0.617351,0.615874,0.62066,0.650773,0.687043,0.688097,0.651831,0.681611
2.9056,0.639056,0.667491,0.617311,0.616484,0.621232,0.650496,0.686139,0.688359,0.652183,0.681561
2.9058,0.638182,0.667886,0.617562,0.616958,0.621587,0.650064,0.683225,0.689486,0.651392,0.68248
2.906,0.637636,0.667601,0.618255,0.617268,0.621829,0.650075,0.681259,0.690531,0.651056,0.683552
2.9062,0.637515,0.666398,0.618833,0.617685,0.62204,0.65062,0.680411,0.690684,0.651535,0.683847
2.9064,0.637687,0.664499,0.618823,0.618145,0.622673,0.651192,0.681066,0.690145,0.652394,0.683239
2.9066,0.637742,0.663939,0.618236,0.618345,0.623902,0.651408,0.680931,0.689611,0.65315,0.682225
2.9068,0.637508,0.66601,0.617564,0.618316,0.625133,0.650977,0.678125,0.689526,0.653845,0.681641
2.907,0.637195,0.668414,0.61739,0.618115,0.62585,0.650018,0.674997,0.690125,0.654168,0.68222
2.9072,0.637109,0.668581,0.617946,0.617955,0.625925,0.648782,0.673217,0.691126,0.654469,0.683741
2.9074,0.637383,0.665445,0.619001,0.618179,0.625727,0.647796,0.673889,0.691837,0.655097,0.685272
2.9076,0.637859,0.660707,0.620001,0.618881,0.625778,0.647481,0.675296,0.691827,0.655868,0.685807
2.9078,0.638223,0.656946,0.620953,0.619703,0.626597,0.648575,0.675218,0.69155,0.656566,0.685529
2.908,0.638301,0.65641,0.621634,0.620167,0.628139,0.649515,0.673724,0.691699,0.657112,0.68513
2.9082,0.638186,0.658559,0.621523,0.620117,0.629534,0.648946,0.672765,0.692173,0.657774,0.685274
2.9084,0.638017,0.661328,0.620439,0.619686,0.630215,0.647215,0.673242,0.692494,0.658705,0.68646
2.9086,0.638108,0.662059,0.61896,0.619092,0.630482,0.645075,0.675085,0.692187,0.659894,0.68806
2.9088,0.638435,0.660009,0.617605,0.618753,0.630484,0.643479,0.677328,0.691015,0.661138,0.689161
2.909,0.638718,0.656597,0.617328,0.618814,0.630828,0.642798,0.678047,0.689656,0.661997,0.68906
2.9092,0.638808,0.653832,0.618047,0.618959,0.631425,0.642681,0.677442,0.688918,0.66238,0.688074
2.9094,0.638671,0.652711,0.618855,0.618539,0.632406,0.642584,0.677938,0.689074,0.662431,0.687702
2.9096,0.638268,0.653155,0.618967,0.617698,0.633259,0.642343,0.679798,0.688952,0.662615,0.688377
2.9098,0.637518,0.654344,0.618223,0.617048,0.634024,0.641944,0.681535,0.688104,0.663174,0.689323
2.91,0.636692,0.654993,0.617149,0.61684,0.634447,0.641353,0.682504,0.686202,0.664302,0.689846
2.9102,0.636356,0.654724,0.616085,0.61657,0.634502,0.640897,0.682835,0.684342,0.665515,0.690197
2.9104,0.636832,0.654139,0.615542,0.616519,0.634454,0.640894,0.683034,0.68325,0.666551,0.690485
2.9106,0.637822,0.653873,0.615439,0.616293,0.634429,0.641396,0.684754,0.68271,0.667348,0.69097
